001  00119 |Loss: 2.680 | Acc: 14.476% 
001  00120 |Loss: 2.675 | Acc: 14.531% 
001  00121 |Loss: 2.670 | Acc: 14.592% 
001  00122 |Loss: 2.664 | Acc: 14.671% 
001  00123 |Loss: 2.659 | Acc: 14.755% 
001  00124 |Loss: 2.654 | Acc: 14.793% 
001  00125 |Loss: 2.649 | Acc: 14.831% 
001  00126 |Loss: 2.646 | Acc: 14.869% 
001  00127 |Loss: 2.642 | Acc: 14.942% 
001  00128 |Loss: 2.638 | Acc: 14.996% 
001  00129 |Loss: 2.633 | Acc: 15.044% 
001  00130 |Loss: 2.629 | Acc: 15.114% 
001  00131 |Loss: 2.625 | Acc: 15.130% 
001  00132 |Loss: 2.620 | Acc: 15.228% 
001  00133 |Loss: 2.616 | Acc: 15.255% 
001  00134 |Loss: 2.612 | Acc: 15.304% 
001  00135 |Loss: 2.607 | Acc: 15.370% 
001  00136 |Loss: 2.603 | Acc: 15.372% 
001  00137 |Loss: 2.600 | Acc: 15.391% 
001  00138 |Loss: 2.596 | Acc: 15.500% 
001  00139 |Loss: 2.591 | Acc: 15.569% 
001  00140 |Loss: 2.586 | Acc: 15.658% 
001  00141 |Loss: 2.582 | Acc: 15.736% 
001  00142 |Loss: 2.578 | Acc: 15.796% 
001  00143 |Loss: 2.574 | Acc: 15.893% 
001  00144 |Loss: 2.571 | Acc: 15.940% 
001  00145 |Loss: 2.566 | Acc: 16.029% 
001  00146 |Loss: 2.563 | Acc: 16.085% 
001  00147 |Loss: 2.559 | Acc: 16.162% 
001  00148 |Loss: 2.556 | Acc: 16.185% 
001  00149 |Loss: 2.553 | Acc: 16.254% 
001  00150 |Loss: 2.549 | Acc: 16.365% 
001  00151 |Loss: 2.545 | Acc: 16.442% 
001  00152 |Loss: 2.541 | Acc: 16.488% 
001  00153 |Loss: 2.538 | Acc: 16.595% 
001  00154 |Loss: 2.534 | Acc: 16.645% 
001  00155 |Loss: 2.529 | Acc: 16.769% 
001  00156 |Loss: 2.525 | Acc: 16.852% 
001  00157 |Loss: 2.521 | Acc: 16.909% 
001  00158 |Loss: 2.518 | Acc: 16.980% 
001  00159 |Loss: 2.515 | Acc: 17.055% 
001  00160 |Loss: 2.512 | Acc: 17.095% 
001  00161 |Loss: 2.509 | Acc: 17.139% 
001  00162 |Loss: 2.506 | Acc: 17.163% 
001  00163 |Loss: 2.503 | Acc: 17.207% 
001  00164 |Loss: 2.500 | Acc: 17.264% 
001  00165 |Loss: 2.496 | Acc: 17.315% 
001  00166 |Loss: 2.493 | Acc: 17.366% 
001  00167 |Loss: 2.489 | Acc: 17.445% 
001  00168 |Loss: 2.486 | Acc: 17.485% 
001  00169 |Loss: 2.484 | Acc: 17.483% 
001  00170 |Loss: 2.481 | Acc: 17.500% 
001  00171 |Loss: 2.477 | Acc: 17.599% 
001  00172 |Loss: 2.474 | Acc: 17.633% 
001  00173 |Loss: 2.471 | Acc: 17.684% 
001  00174 |Loss: 2.468 | Acc: 17.717% 
001  00175 |Loss: 2.465 | Acc: 17.759% 
001  00176 |Loss: 2.462 | Acc: 17.809% 
001  00177 |Loss: 2.459 | Acc: 17.841% 
001  00178 |Loss: 2.457 | Acc: 17.877% 
001  00179 |Loss: 2.454 | Acc: 17.929% 
001  00180 |Loss: 2.451 | Acc: 17.977% 
001  00181 |Loss: 2.449 | Acc: 18.021% 
001  00182 |Loss: 2.446 | Acc: 18.093% 
001  00183 |Loss: 2.444 | Acc: 18.110% 
001  00184 |Loss: 2.441 | Acc: 18.156% 
001  00185 |Loss: 2.438 | Acc: 18.205% 
001  00186 |Loss: 2.435 | Acc: 18.292% 
001  00187 |Loss: 2.432 | Acc: 18.349% 
001  00188 |Loss: 2.429 | Acc: 18.418% 
001  00189 |Loss: 2.426 | Acc: 18.485% 
001  00190 |Loss: 2.423 | Acc: 18.544% 
001  00191 |Loss: 2.420 | Acc: 18.595% 
001  00192 |Loss: 2.418 | Acc: 18.599% 
001  00193 |Loss: 2.415 | Acc: 18.681% 
001  00194 |Loss: 2.411 | Acc: 18.714% 
001  00195 |Loss: 2.409 | Acc: 18.774% 
001  00196 |Loss: 2.406 | Acc: 18.822% 
001  00197 |Loss: 2.403 | Acc: 18.873% 
001  00198 |Loss: 2.401 | Acc: 18.880% 
001  00199 |Loss: 2.399 | Acc: 18.919% 
001  00200 |Loss: 2.397 | Acc: 18.977% 
001  00201 |Loss: 2.394 | Acc: 19.030% 
001  00202 |Loss: 2.392 | Acc: 19.067% 
001  00203 |Loss: 2.389 | Acc: 19.104% 
001  00204 |Loss: 2.387 | Acc: 19.175% 
001  00205 |Loss: 2.384 | Acc: 19.204% 
001  00206 |Loss: 2.381 | Acc: 19.277% 
001  00207 |Loss: 2.379 | Acc: 19.305% 
001  00208 |Loss: 2.377 | Acc: 19.351% 
001  00209 |Loss: 2.374 | Acc: 19.385% 
001  00210 |Loss: 2.372 | Acc: 19.408% 
001  00211 |Loss: 2.371 | Acc: 19.457% 
001  00212 |Loss: 2.369 | Acc: 19.502% 
001  00213 |Loss: 2.367 | Acc: 19.539% 
